,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,aspiration_std,aspiration_turbo,horsepower-binned,fuel-type-diesel,fuel-type-gas,aspiration_std,aspiration_turbo
26,1.0,148,dodge,,sedan,fwd,front,93.7,157.3,63.8,50.6,2191.0,ohc,four,98.0,mpfi,3.03,3.39,7.6,102.0,5500,24.0,30.0,8558,False,True,Low,False,True,False,True
27,-1.0,110,dodge,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535.0,ohc,four,122.0,2bbl,3.34,3.46,8.5,88.0,5000,24.0,30.0,8921,True,False,Low,False,True,True,False
28,3.0,145,dodge,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811.0,ohc,four,156.0,mfi,3.6,3.9,7.0,145.0,5000,19.0,24.0,12964,False,True,Medium,False,True,False,True
29,2.0,137,honda,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713.0,ohc,four,92.0,1bbl,2.91,3.41,9.6,58.0,4800,49.0,54.0,6479,True,False,Low,False,True,True,False
30,2.0,137,honda,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819.0,ohc,four,92.0,1bbl,2.91,3.41,9.2,76.0,6000,31.0,38.0,6855,True,False,Low,False,True,True,False
31,1.0,101,honda,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1837.0,ohc,four,79.0,1bbl,2.91,3.07,10.1,60.0,5500,38.0,42.0,5399,True,False,Low,False,True,True,False
32,1.0,101,honda,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1940.0,ohc,four,92.0,1bbl,2.91,3.41,9.2,76.0,6000,30.0,34.0,6529,True,False,Low,False,True,True,False
33,1.0,101,honda,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1956.0,ohc,four,92.0,1bbl,2.91,3.41,9.2,76.0,6000,30.0,34.0,7129,True,False,Low,False,True,True,False
34,0.0,110,honda,four,sedan,fwd,front,96.5,163.4,64.0,54.5,2010.0,ohc,four,92.0,1bbl,2.91,3.41,9.2,76.0,6000,30.0,34.0,7295,True,False,Low,False,True,True,False
35,0.0,78,honda,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024.0,ohc,four,92.0,1bbl,2.92,3.41,9.2,76.0,6000,30.0,34.0,7295,True,False,Low,False,True,True,False
36,0.0,106,honda,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236.0,ohc,four,110.0,1bbl,3.15,3.58,9.0,86.0,5800,27.0,33.0,7895,True,False,Low,False,True,True,False
37,0.0,106,honda,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289.0,ohc,four,110.0,1bbl,3.15,3.58,9.0,86.0,5800,27.0,33.0,9095,True,False,Low,False,True,True,False
38,0.0,85,honda,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2304.0,ohc,four,110.0,1bbl,3.15,3.58,9.0,86.0,5800,27.0,33.0,8845,True,False,Low,False,True,True,False
39,0.0,85,honda,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372.0,ohc,four,110.0,1bbl,3.15,3.58,9.0,86.0,5800,27.0,33.0,10295,True,False,Low,False,True,True,False
40,0.0,85,honda,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465.0,ohc,four,110.0,mpfi,3.15,3.58,9.0,101.0,5800,24.0,28.0,12945,True,False,Low,False,True,True,False
41,1.0,107,honda,two,sedan,fwd,front,96.5,169.1,66.0,51.0,2293.0,ohc,four,110.0,2bbl,3.15,3.58,9.1,100.0,5500,25.0,31.0,10345,True,False,Low,False,True,True,False
42,0.0,,isuzu,four,sedan,rwd,front,94.3,170.7,61.8,53.5,2337.0,ohc,four,111.0,2bbl,3.31,3.23,8.5,78.0,4800,24.0,29.0,6785,True,False,Low,False,True,True,False
43,2.0,,isuzu,two,hatchback,rwd,front,96.0,172.6,65.2,51.4,2734.0,ohc,four,119.0,spfi,3.43,3.23,9.2,90.0,5000,24.0,29.0,11048,True,False,Low,False,True,True,False
44,0.0,145,jaguar,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066.0,dohc,six,258.0,mpfi,3.63,4.17,8.1,176.0,4750,15.0,19.0,32250,True,False,Medium,False,True,True,False
45,0.0,,jaguar,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066.0,dohc,six,258.0,mpfi,3.63,4.17,8.1,176.0,4750,15.0,19.0,35550,True,False,Medium,False,True,True,False
46,0.0,,jaguar,two,sedan,rwd,front,102.0,191.7,70.6,47.8,3950.0,ohcv,twelve,326.0,mpfi,3.54,2.76,11.5,262.0,5000,13.0,17.0,36000,True,False,High,False,True,True,False
47,1.0,104,mazda,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890.0,ohc,four,91.0,2bbl,3.03,3.15,9.0,68.0,5000,30.0,31.0,5195,True,False,Low,False,True,True,False
48,1.0,104,mazda,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900.0,ohc,four,91.0,2bbl,3.03,3.15,9.0,68.0,5000,31.0,38.0,6095,True,False,Low,False,True,True,False
49,1.0,104,mazda,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905.0,ohc,four,91.0,2bbl,3.03,3.15,9.0,68.0,5000,31.0,38.0,6795,True,False,Low,False,True,True,False
50,1.0,113,mazda,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1945.0,ohc,four,91.0,2bbl,3.03,3.15,9.0,68.0,5000,31.0,38.0,6695,True,False,Low,False,True,True,False
51,1.0,113,mazda,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1950.0,ohc,four,91.0,2bbl,3.08,3.15,9.0,68.0,5000,31.0,38.0,7395,True,False,Low,False,True,True,False
52,3.0,150,mazda,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380.0,rotor,two,70.0,4bbl,,,9.4,101.0,6000,17.0,23.0,10945,True,False,Low,False,True,True,False
53,3.0,150,mazda,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380.0,rotor,two,70.0,4bbl,,,9.4,101.0,6000,17.0,23.0,11845,True,False,Low,False,True,True,False
54,3.0,150,mazda,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2385.0,rotor,two,70.0,4bbl,,,9.4,101.0,6000,17.0,23.0,13645,True,False,Low,False,True,True,False
55,3.0,150,mazda,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2500.0,rotor,two,80.0,mpfi,,,9.4,135.0,6000,16.0,23.0,15645,True,False,Medium,False,True,True,False
56,1.0,129,mazda,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800,26.0,32.0,8845,True,False,Low,False,True,True,False
57,0.0,115,mazda,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800,26.0,32.0,8495,True,False,Low,False,True,True,False
58,1.0,129,mazda,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800,26.0,32.0,10595,True,False,Low,False,True,True,False
59,0.0,115,mazda,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800,26.0,32.0,10245,True,False,Low,False,True,True,False
60,0.0,,mazda,,sedan,fwd,front,98.8,177.8,66.5,55.5,2443.0,ohc,four,122.0,idi,3.39,3.39,22.7,64.0,4650,36.0,42.0,10795,True,False,Low,True,False,True,False
61,0.0,115,mazda,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800,26.0,32.0,11245,True,False,Low,False,True,True,False
62,0.0,118,mazda,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2670.0,ohc,four,140.0,mpfi,3.76,3.16,8.0,120.0,5000,19.0,27.0,18280,True,False,Medium,False,True,True,False
63,0.0,,mazda,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2700.0,ohc,four,134.0,idi,3.43,3.64,22.0,72.0,4200,31.0,39.0,18344,True,False,Low,True,False,True,False
64,-1.0,93,mercedes-benz,four,sedan,rwd,front,110.0,190.9,70.3,56.5,3515.0,ohc,five,183.0,idi,3.58,3.64,21.5,123.0,4350,22.0,25.0,25552,False,True,Medium,True,False,False,True
65,-1.0,93,mercedes-benz,four,wagon,rwd,front,110.0,190.9,70.3,58.7,3750.0,ohc,five,183.0,idi,3.58,3.64,21.5,123.0,4350,22.0,25.0,28248,False,True,Medium,True,False,False,True
66,0.0,93,mercedes-benz,two,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495.0,ohc,five,183.0,idi,3.58,3.64,21.5,123.0,4350,22.0,25.0,28176,False,True,Medium,True,False,False,True
67,-1.0,93,mercedes-benz,four,sedan,rwd,front,115.6,202.6,71.7,56.3,3770.0,ohc,five,183.0,idi,3.58,3.64,21.5,123.0,4350,22.0,25.0,31600,False,True,Medium,True,False,False,True
68,-1.0,,mercedes-benz,four,sedan,rwd,front,115.6,202.6,71.7,56.5,3740.0,ohcv,eight,234.0,mpfi,3.46,3.1,8.3,155.0,4750,16.0,18.0,34184,True,False,Medium,False,True,True,False
69,3.0,142,mercedes-benz,two,convertible,rwd,front,96.6,180.3,70.5,50.8,3685.0,ohcv,eight,234.0,mpfi,3.46,3.1,8.3,155.0,4750,16.0,18.0,35056,True,False,Medium,False,True,True,False
70,0.0,,mercedes-benz,four,sedan,rwd,front,120.9,208.1,71.7,56.7,3900.0,ohcv,eight,308.0,mpfi,3.8,3.35,8.0,184.0,4500,14.0,16.0,40960,True,False,Medium,False,True,True,False
71,1.0,,mercedes-benz,two,hardtop,rwd,front,112.0,199.2,72.0,55.4,3715.0,ohcv,eight,304.0,mpfi,3.8,3.35,8.0,184.0,4500,14.0,16.0,45400,True,False,Medium,False,True,True,False
72,1.0,,mercury,two,hatchback,rwd,front,102.7,178.4,68.0,54.8,2910.0,ohc,four,140.0,mpfi,3.78,3.12,8.0,175.0,5000,19.0,24.0,16503,False,True,Medium,False,True,False,True
73,2.0,161,mitsubishi,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918.0,ohc,four,92.0,2bbl,2.97,3.23,9.4,68.0,5500,37.0,41.0,5389,True,False,Low,False,True,True,False
74,2.0,161,mitsubishi,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944.0,ohc,four,92.0,2bbl,2.97,3.23,9.4,68.0,5500,31.0,38.0,6189,True,False,Low,False,True,True,False
75,2.0,161,mitsubishi,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004.0,ohc,four,92.0,2bbl,2.97,3.23,9.4,68.0,5500,31.0,38.0,6669,True,False,Low,False,True,True,False
76,1.0,161,mitsubishi,two,hatchback,fwd,front,93.0,157.3,63.8,50.8,2145.0,ohc,four,98.0,spdi,3.03,3.39,7.6,102.0,5500,24.0,30.0,7689,False,True,Low,False,True,False,True
77,3.0,153,mitsubishi,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2370.0,ohc,four,110.0,spdi,3.17,3.46,7.5,116.0,5500,23.0,30.0,9959,False,True,Low,False,True,False,True
78,3.0,153,mitsubishi,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2328.0,ohc,four,122.0,2bbl,3.35,3.46,8.5,88.0,5000,25.0,32.0,8499,True,False,Low,False,True,True,False
79,3.0,,mitsubishi,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833.0,ohc,four,156.0,spdi,3.58,3.86,7.0,145.0,5000,19.0,24.0,12629,False,True,Medium,False,True,False,True
80,3.0,,mitsubishi,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921.0,ohc,four,156.0,spdi,3.59,3.86,7.0,145.0,5000,19.0,24.0,14869,False,True,Medium,False,True,False,True
81,3.0,,mitsubishi,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926.0,ohc,four,156.0,spdi,3.59,3.86,7.0,145.0,5000,19.0,24.0,14489,False,True,Medium,False,True,False,True
82,1.0,125,mitsubishi,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2365.0,ohc,four,122.0,2bbl,3.35,3.46,8.5,88.0,5000,25.0,32.0,6989,True,False,Low,False,True,True,False
83,1.0,125,mitsubishi,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2405.0,ohc,four,122.0,2bbl,3.35,3.46,8.5,88.0,5000,25.0,32.0,8189,True,False,Low,False,True,True,False
84,1.0,125,mitsubishi,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403.0,ohc,four,110.0,spdi,3.17,3.46,7.5,116.0,5500,23.0,30.0,9279,False,True,Low,False,True,False,True
85,-1.0,137,mitsubishi,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403.0,ohc,four,110.0,spdi,3.17,3.46,7.5,116.0,5500,23.0,30.0,9279,True,False,Low,False,True,True,False
86,1.0,128,nissan,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1889.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200,31.0,37.0,5499,True,False,Low,False,True,True,False
87,1.0,128,nissan,two,sedan,fwd,front,94.5,165.3,63.8,54.5,2017.0,ohc,four,103.0,idi,2.99,3.47,21.9,55.0,4800,45.0,50.0,7099,True,False,Low,True,False,True,False
88,1.0,128,nissan,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1918.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200,31.0,37.0,6649,True,False,Low,False,True,True,False
89,1.0,122,nissan,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1938.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200,31.0,37.0,6849,True,False,Low,False,True,True,False
90,1.0,103,nissan,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2024.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200,31.0,37.0,7349,True,False,Low,False,True,True,False
91,1.0,128,nissan,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1951.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200,31.0,37.0,7299,True,False,Low,False,True,True,False
92,1.0,128,nissan,two,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200,31.0,37.0,7799,True,False,Low,False,True,True,False
93,1.0,122,nissan,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1971.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200,31.0,37.0,7499,True,False,Low,False,True,True,False
94,1.0,103,nissan,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2037.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200,31.0,37.0,7999,True,False,Low,False,True,True,False
95,2.0,168,nissan,two,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200,31.0,37.0,8249,True,False,Low,False,True,True,False
96,0.0,106,nissan,four,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324.0,ohc,four,120.0,2bbl,3.33,3.47,8.5,97.0,5200,27.0,34.0,8949,True,False,Low,False,True,True,False
97,0.0,106,nissan,four,sedan,fwd,front,97.2,173.4,65.2,54.7,2302.0,ohc,four,120.0,2bbl,3.33,3.47,8.5,97.0,5200,27.0,34.0,9549,True,False,Low,False,True,True,False
98,0.0,128,nissan,four,sedan,fwd,front,100.4,181.7,66.5,55.1,3095.0,ohcv,six,181.0,mpfi,3.43,3.27,9.0,152.0,5200,17.0,22.0,13499,True,False,Medium,False,True,True,False
99,0.0,108,nissan,four,wagon,fwd,front,100.4,184.6,66.5,56.1,3296.0,ohcv,six,181.0,mpfi,3.43,3.27,9.0,152.0,5200,17.0,22.0,14399,True,False,Medium,False,True,True,False
100,0.0,108,nissan,four,sedan,fwd,front,100.4,184.6,66.5,55.1,3060.0,ohcv,six,181.0,mpfi,3.43,3.27,9.0,152.0,5200,19.0,25.0,13499,True,False,Medium,False,True,True,False
101,3.0,194,nissan,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071.0,ohcv,six,181.0,mpfi,3.43,3.27,9.0,160.0,5200,19.0,25.0,17199,True,False,Medium,False,True,True,False
102,3.0,194,nissan,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139.0,ohcv,six,181.0,mpfi,3.43,3.27,7.8,200.0,5200,17.0,23.0,19699,False,True,High,False,True,False,True
103,1.0,231,nissan,two,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139.0,ohcv,six,181.0,mpfi,3.43,3.27,9.0,160.0,5200,19.0,25.0,18399,True,False,Medium,False,True,True,False
104,0.0,161,peugot,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3020.0,l,four,120.0,mpfi,3.46,3.19,8.4,97.0,5000,19.0,24.0,11900,True,False,Low,False,True,True,False
105,0.0,161,peugot,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3197.0,l,four,152.0,idi,3.7,3.52,21.0,95.0,4150,28.0,33.0,13200,False,True,Low,True,False,False,True
106,0.0,,peugot,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3230.0,l,four,120.0,mpfi,3.46,3.19,8.4,97.0,5000,19.0,24.0,12440,True,False,Low,False,True,True,False
107,0.0,,peugot,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3430.0,l,four,152.0,idi,3.7,3.52,21.0,95.0,4150,25.0,25.0,13860,False,True,Low,True,False,False,True
108,0.0,161,peugot,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075.0,l,four,120.0,mpfi,3.46,2.19,8.4,95.0,5000,19.0,24.0,15580,True,False,Low,False,True,True,False
109,0.0,161,peugot,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252.0,l,four,152.0,idi,3.7,3.52,21.0,95.0,4150,28.0,33.0,16900,False,True,Low,True,False,False,True
110,0.0,,peugot,four,wagon,rwd,front,114.2,198.9,68.4,56.7,3285.0,l,four,120.0,mpfi,3.46,2.19,8.4,95.0,5000,19.0,24.0,16695,True,False,Low,False,True,True,False
111,0.0,,peugot,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3485.0,l,four,152.0,idi,3.7,3.52,21.0,95.0,4150,25.0,25.0,17075,False,True,Low,True,False,False,True
112,0.0,161,peugot,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075.0,l,four,120.0,mpfi,3.46,3.19,8.4,97.0,5000,19.0,24.0,16630,True,False,Low,False,True,True,False
113,0.0,161,peugot,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252.0,l,four,152.0,idi,3.7,3.52,21.0,95.0,4150,28.0,33.0,17950,False,True,Low,True,False,False,True
114,0.0,161,peugot,four,sedan,rwd,front,108.0,186.7,68.3,56.0,3130.0,l,four,134.0,mpfi,3.61,3.21,7.0,142.0,5600,18.0,24.0,18150,False,True,Medium,False,True,False,True
115,1.0,119,plymouth,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500,37.0,41.0,5572,True,False,Low,False,True,True,False
116,1.0,119,plymouth,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128.0,ohc,four,98.0,spdi,3.03,3.39,7.6,102.0,5500,24.0,30.0,7957,False,True,Low,False,True,False,True
117,1.0,154,plymouth,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500,31.0,38.0,6229,True,False,Low,False,True,True,False
118,1.0,154,plymouth,four,sedan,fwd,front,93.7,167.3,63.8,50.8,1989.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500,31.0,38.0,6692,True,False,Low,False,True,True,False
119,1.0,154,plymouth,four,sedan,fwd,front,93.7,167.3,63.8,50.8,2191.0,ohc,four,98.0,2bbl,2.97,3.23,9.4,68.0,5500,31.0,38.0,7609,True,False,Low,False,True,True,False
120,-1.0,74,plymouth,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535.0,ohc,four,122.0,2bbl,3.35,3.46,8.5,88.0,5000,24.0,30.0,8921,True,False,Low,False,True,True,False
121,3.0,,plymouth,two,hatchback,rwd,front,95.9,173.2,66.3,50.2,2818.0,ohc,four,156.0,spdi,3.59,3.86,7.0,145.0,5000,19.0,24.0,12764,False,True,Medium,False,True,False,True
122,3.0,186,porsche,two,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778.0,ohc,four,151.0,mpfi,3.94,3.11,9.5,143.0,5500,19.0,27.0,22018,True,False,Medium,False,True,True,False
123,3.0,,porsche,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756.0,ohcf,six,194.0,mpfi,3.74,2.9,9.5,207.0,5900,17.0,25.0,32528,True,False,High,False,True,True,False
124,3.0,,porsche,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756.0,ohcf,six,194.0,mpfi,3.74,2.9,9.5,207.0,5900,17.0,25.0,34028,True,False,High,False,True,True,False
125,3.0,,porsche,two,convertible,rwd,rear,89.5,168.9,65.0,51.6,2800.0,ohcf,six,194.0,mpfi,3.74,2.9,9.5,207.0,5900,17.0,25.0,37028,True,False,High,False,True,True,False
128,3.0,150,saab,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658.0,ohc,four,121.0,mpfi,3.54,3.07,9.31,110.0,5250,21.0,28.0,11850,True,False,Low,False,True,True,False
129,2.0,104,saab,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2695.0,ohc,four,121.0,mpfi,3.54,3.07,9.3,110.0,5250,21.0,28.0,12170,True,False,Low,False,True,True,False
130,3.0,150,saab,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707.0,ohc,four,121.0,mpfi,2.54,2.07,9.3,110.0,5250,21.0,28.0,15040,True,False,Low,False,True,True,False
